Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name,group
Shanghai,PM2.5 - Principal,01JAN15:06:00:00,2015,1,1,6,38.6,109,Unhealthy for Sensitive Groups,38,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,01JAN15:12:00:00,2015,1,1,12,31.5,92,Moderate,22,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,01JAN15:18:00:00,2015,1,1,18,49.3,135,Unhealthy for Sensitive Groups,53,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,02JAN15:00:00:00,2015,1,2,0,58.8,153,Unhealthy,57,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,02JAN15:06:00:00,2015,1,2,6,77.6,162,Unhealthy,76,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,02JAN15:12:00:00,2015,1,2,12,78.9,163,Unhealthy,82,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,02JAN15:18:00:00,2015,1,2,18,78.4,163,Unhealthy,87,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,03JAN15:00:00:00,2015,1,3,0,108.9,179,Unhealthy,114,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,03JAN15:06:00:00,2015,1,3,6,106.7,177,Unhealthy,102,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,03JAN15:12:00:00,2015,1,3,12,101.6,175,Unhealthy,87,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,03JAN15:18:00:00,2015,1,3,18,90.2,169,Unhealthy,95,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,04JAN15:00:00:00,2015,1,4,0,89.2,168,Unhealthy,85,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,04JAN15:06:00:00,2015,1,4,6,88,168,Unhealthy,90,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,04JAN15:12:00:00,2015,1,4,12,171.1,221,Very Unhealthy,178,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,04JAN15:18:00:00,2015,1,4,18,106.6,177,Unhealthy,96,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,05JAN15:00:00:00,2015,1,5,0,120.8,185,Unhealthy,95,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,05JAN15:06:00:00,2015,1,5,6,60.1,153,Unhealthy,56,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,05JAN15:12:00:00,2015,1,5,12,55.2,150,Unhealthy for Sensitive Groups,48,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,05JAN15:18:00:00,2015,1,5,18,83.9,166,Unhealthy,99,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,06JAN15:00:00:00,2015,1,6,0,143.8,197,Unhealthy,161,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,06JAN15:06:00:00,2015,1,6,6,188.5,239,Very Unhealthy,175,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,06JAN15:12:00:00,2015,1,6,12,41.5,116,Unhealthy for Sensitive Groups,25,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,06JAN15:18:00:00,2015,1,6,18,26.3,81,Moderate,21,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,07JAN15:00:00:00,2015,1,7,0,21.8,71,Moderate,19,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,07JAN15:06:00:00,2015,1,7,6,18.2,64,Moderate,20,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,07JAN15:12:00:00,2015,1,7,12,39.8,112,Unhealthy for Sensitive Groups,44,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,07JAN15:18:00:00,2015,1,7,18,65.6,156,Unhealthy,68,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,08JAN15:00:00:00,2015,1,8,0,53.5,145,Unhealthy for Sensitive Groups,50,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,08JAN15:06:00:00,2015,1,8,6,52.3,142,Unhealthy for Sensitive Groups,57,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,08JAN15:12:00:00,2015,1,8,12,81.8,165,Unhealthy,84,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,08JAN15:18:00:00,2015,1,8,18,87.5,168,Unhealthy,89,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,09JAN15:00:00:00,2015,1,9,0,98.2,173,Unhealthy,98,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,09JAN15:06:00:00,2015,1,9,6,99.7,174,Unhealthy,106,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,09JAN15:12:00:00,2015,1,9,12,171.2,222,Very Unhealthy,175,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,09JAN15:18:00:00,2015,1,9,18,165.4,216,Very Unhealthy,169,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,10JAN15:00:00:00,2015,1,10,0,174.1,224,Very Unhealthy,183,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,10JAN15:06:00:00,2015,1,10,6,200.8,251,Very Unhealthy,221,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,10JAN15:12:00:00,2015,1,10,12,192.1,242,Very Unhealthy,190,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,10JAN15:18:00:00,2015,1,10,18,129.3,189,Unhealthy,135,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,11JAN15:00:00:00,2015,1,11,0,192.2,242,Very Unhealthy,213,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,11JAN15:06:00:00,2015,1,11,6,216,266,Very Unhealthy,204,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,11JAN15:12:00:00,2015,1,11,12,172.8,223,Very Unhealthy,142,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,11JAN15:18:00:00,2015,1,11,18,180.1,230,Very Unhealthy,214,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,12JAN15:00:00:00,2015,1,12,0,108.7,178,Unhealthy,66,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,12JAN15:06:00:00,2015,1,12,6,18.6,65,Moderate,16,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,12JAN15:12:00:00,2015,1,12,12,23,74,Moderate,24,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,12JAN15:18:00:00,2015,1,12,18,23.3,75,Moderate,22,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,13JAN15:00:00:00,2015,1,13,0,21.6,71,Moderate,23,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,13JAN15:06:00:00,2015,1,13,6,17.4,62,Moderate,15,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,13JAN15:12:00:00,2015,1,13,12,24.5,77,Moderate,19,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,13JAN15:18:00:00,2015,1,13,18,24.4,77,Moderate,25,UG/M3,1 Hr,Valid,1
Shanghai,PM2.5 - Principal,14JAN15:00:00:00,2015,1,14,0,23.2,74,Moderate,20,UG/M3,1 Hr,Valid,1
